student_names,phone_no.,math,physics,chemistry,grade,comment,roll_no.,school_name,student_address
Diana Harrington,9015350969,66,59,48,C,Below Average Achivement,543350,Martin Luther School,"90606 Smith Mews, Amberport, MH 94485"
Lisa Oneill,9890139593,44,77,38,C,Below Average Achivement,545185,Martin Luther School,"4879 Andrew Lodge, Lake Billy, CA 29594"
Mr. Jacob Pena Jr.,9802048398,77,71,64,B,Average Performance,546774,Martin Luther School,"770 Bates Trail, North Shannonland, NY 79057"
Gabrielle Adams,9337277554,74,93,60,B+,Good Pursuance,582542,Martin Luther School,"23607 Foster Avenue Suite 741, Meganmouth, AR 79644"
Alexandria Parker,9896027705,51,65,69,B,Average Performance,571062,Martin Luther School,"USNV Ortiz, FPO AE 68623"
Matthew Rodriguez,9883908744,15,29,50,F,Failed,583749,Martin Luther School,"07440 Joel Cove Apt. 083, West Kristenstad, FL 52582"
Charles Harris,9528730508,50,10,88,D,Poor Pursuance,518021,Martin Luther School,"123 Sean Harbor Apt. 216, West Suzanneshire, ND 50496"
Elizabeth Clarke,9618876953,64,38,61,C,Below Average Achivement,569084,Martin Luther School,"510 Holmes Mills, Hoganview, CO 73098"
Mr. Marcus Arnold,9369650421,18,85,34,D,Poor Pursuance,568856,Martin Luther School,"5362 Daniel Loaf Suite 038, Robertfort, FL 62250"
Amber Maxwell,9624215918,11,39,67,D,Poor Pursuance,502205,Martin Luther School,"883 Peterson Lodge, Blakeburgh, IL 24141"
Jeffrey Love,9062294786,87,65,59,B,Average Performance,569917,Martin Luther School,"95729 Green Dam Suite 442, Davistown, WV 25357"
Sylvia Holder,9281772506,80,61,65,B,Average Performance,532528,Martin Luther School,"500 Kyle Spurs Apt. 078, New Diane, ID 50851"
Erin Kaufman,9297699289,29,61,37,D,Poor Pursuance,509089,Martin Luther School,"840 Mendoza Ranch, East Michaelview, ND 62447"
Nicholas Bell,9084017660,27,54,32,D,Poor Pursuance,594929,Martin Luther School,"162 Dustin Inlet Suite 520, South Brittanyberg, NH 71757"
Christina Jones,9776817520,26,23,35,F,Failed,522384,Martin Luther School,"41476 Susan Loaf, East Keith, WA 12793"
Nicole Jones,9364241978,19,58,99,C,Below Average Achivement,559283,Martin Luther School,"9704 Alicia Station, Bairdtown, AS 93217"
Sandra Hernandez,9880260418,93,17,64,C,Below Average Achivement,505191,Martin Luther School,"967 Mitchell Drive, Johnport, NJ 91535"
Joseph Martinez,9063692202,25,100,21,D,Poor Pursuance,566395,Martin Luther School,"Unit 0702 Box 4484, DPO AP 03911"
Cynthia Lozano,9307788699,14,40,44,F,Failed,541747,Martin Luther School,"1300 Angela Drives, Valenzuelaton, ME 51076"
David Mcdonald,9793675480,58,60,62,C,Below Average Achivement,561743,Martin Luther School,"PSC 3289, Box 5306, APO AP 74929"
George Davis,9219198823,34,81,13,D,Poor Pursuance,506566,Martin Luther School,"758 Molly Viaduct, Villarrealshire, OH 77163"
Christopher Kennedy,9878073399,78,84,32,B,Average Performance,566239,Martin Luther School,"09780 Avila Lights Apt. 858, Jonathanberg, NY 01714"
Michael Berry,9644136949,42,63,46,D,Poor Pursuance,580163,Martin Luther School,"63281 Murphy Flat Apt. 524, Robertsstad, FM 97668"
Alicia Franklin,9676565477,93,75,27,B,Average Performance,537013,Martin Luther School,"PSC 9518, Box 2263, APO AE 26934"
Francisco Smith,9442541025,85,56,58,B,Average Performance,554155,Martin Luther School,"7422 Fox Mission Apt. 333, Robertland, RI 55707"
Deborah Huffman,9821446226,44,93,78,B+,Good Pursuance,572309,Martin Luther School,"826 Richmond Ranch, West Caitlin, CO 44266"
Mr. Jason Black,9506305852,23,32,94,D,Poor Pursuance,572381,Martin Luther School,"207 Sarah Corners, East Keith, WV 84528"
Travis Harrington,9129678105,97,60,25,C,Below Average Achivement,500999,Martin Luther School,"8480 Horne Neck Apt. 119, South Jillstad, VT 33197"
Brent Black,9090732294,56,53,96,B,Average Performance,573462,Martin Luther School,"Unit 6213 Box 0102, DPO AP 37384"
Janet Taylor,9900244176,22,91,10,D,Poor Pursuance,504548,Martin Luther School,"78496 Elizabeth Lock Apt. 149, Savageshire, FM 89832"
Tyler Wu,9476509895,88,23,34,D,Poor Pursuance,582059,Martin Luther School,"30178 Smith Prairie, Greenport, VI 61178"
Dennis Hahn,9245904292,80,69,61,B,Average Performance,596750,Martin Luther School,"761 Joseph Rapids Apt. 456, South Andreahaven, WY 02355"
Claire Smith,9876050302,50,18,88,C,Below Average Achivement,536994,Martin Luther School,"7920 Medina Green, Millerside, TX 74197"
Dennis Bray,9694612629,25,61,95,C,Below Average Achivement,507251,Martin Luther School,"09350 Figueroa Garden, North Eric, WV 93298"
Latoya Harris,9791231840,27,60,73,C,Below Average Achivement,506586,Martin Luther School,"3229 Brandon Prairie Suite 880, Snyderstad, NJ 74477"
Linda Alexander,9584628017,39,13,72,D,Poor Pursuance,515685,Martin Luther School,"94021 Hunter Trail Suite 214, Port Micheal, AL 12568"
Katherine Benson,9871716064,25,32,11,F,Failed,550884,Martin Luther School,"02444 Brandi Creek, Lake Robertburgh, MT 14333"
Shannon Holmes,9596745314,62,37,96,B,Average Performance,525536,Martin Luther School,"344 Daniel Brook Apt. 252, Smithtown, WA 04516"
Jonathan Savage,9698990348,66,61,63,B,Average Performance,548667,Martin Luther School,"Unit 9815 Box 4014, DPO AP 05771"
Tamara Erickson,9743643117,32,95,78,B,Average Performance,585448,Martin Luther School,"48878 Nelson Squares, Moorebury, ND 67269"
Erin Montes,9279120841,41,11,14,F,Failed,524966,Martin Luther School,"59575 Taylor Drive Apt. 737, Lake Adamchester, MD 30111"
Hannah Erickson,9019304661,45,14,76,D,Poor Pursuance,516288,Martin Luther School,"88959 Amber Branch, South Maria, NC 32926"
Katie Wright,9237990944,16,54,15,F,Failed,556338,Martin Luther School,"44221 Novak Junction, Port Douglas, HI 12361"
Nicholas Pearson,9354272560,88,99,41,B+,Good Pursuance,583868,Martin Luther School,"874 Moreno Shoals Apt. 312, Williamsmouth, VA 51773"
Anthony Phelps,9578657146,38,22,63,D,Poor Pursuance,568101,Martin Luther School,"819 Ellen Via Apt. 845, Lisastad, AL 86398"
Adam Casey,9944405977,31,49,97,C,Below Average Achivement,569004,Martin Luther School,"747 Craig Knolls Suite 833, Jessetown, AS 34020"
Jeffrey Garcia,9060425693,14,66,89,C,Below Average Achivement,583882,Martin Luther School,"402 Romero Roads, Lake Timothy, AZ 58036"
Deborah Schmidt,9359867376,59,87,92,B+,Good Pursuance,516703,Martin Luther School,"01233 Scott Club Apt. 470, North Joshuahaven, IA 77279"
Clayton Ingram,9205920771,89,77,65,B+,Good Pursuance,515276,Martin Luther School,"49012 Katherine Parkway, Lake Felicia, VT 99387"
Virginia Simon,9475215689,58,32,30,D,Poor Pursuance,577720,Martin Luther School,"675 Edwards Plains, North Joshua, FL 29254"
Amber Barnett,9344369186,57,46,43,D,Poor Pursuance,541898,Martin Luther School,"6926 Tina Flats Suite 656, Lake Madisonburgh, CA 83230"
Jerry Cox,9146199754,14,55,29,F,Failed,526316,Martin Luther School,"3460 Padilla Ways Apt. 289, Kochville, MS 18473"
Carrie Fowler,9416405517,21,82,91,B,Average Performance,551823,Martin Luther School,"USCGC Russell, FPO AE 70241"
Connie Lawrence,9591843002,20,85,56,C,Below Average Achivement,598827,Martin Luther School,"962 Robert Cape, Shawnburgh, AL 40502"
Ann Black,9335165841,64,40,65,C,Below Average Achivement,576820,Martin Luther School,"2168 Johnson Overpass Apt. 350, Jeremyberg, WV 09572"
Carolyn Meadows,9269540089,53,21,92,C,Below Average Achivement,587172,Martin Luther School,"353 Joseph Keys Suite 430, Lake Christopher, IA 03678"
Erik Adams,9578719894,52,18,42,D,Poor Pursuance,504937,Martin Luther School,"8414 Juarez Pines Suite 254, East Danielle, UT 58693"
Grant Livingston,9050695817,64,27,71,C,Below Average Achivement,589494,Martin Luther School,"2353 Johnson Field, West Matthewborough, OH 46731"
Sarah Cook,9987594283,88,98,80,A,Very Good Achivement,580537,Martin Luther School,"941 Johnson River Apt. 336, Justinside, NM 51382"
Jacob Reyes,9942891358,39,18,17,F,Failed,593563,Martin Luther School,"1088 Christopher Pines, West Amandaborough, WY 81611"
Chelsea Moore,9923794096,34,66,90,B,Average Performance,571111,Martin Luther School,"652 Conley Fork Suite 997, West Brian, IA 21054"
Jessica Carrillo,9052731290,56,43,96,B,Average Performance,514778,Martin Luther School,"1787 David Square, East Albert, CT 90407"
Jack Walker,9077536497,78,69,33,C,Below Average Achivement,592497,Martin Luther School,"86079 Poole Junctions, Port Erikatown, AS 15098"
Kevin Kennedy,9505562732,48,97,15,C,Below Average Achivement,548789,Martin Luther School,"9032 Howell Rapid, New Andrewshire, NV 58408"
Laurie Perez,9862791941,59,65,86,B,Average Performance,515404,Martin Luther School,"059 Steven Stream Suite 379, West Kayla, SD 61308"
Dennis Perez,9477582164,88,84,36,B,Average Performance,583382,Martin Luther School,"4298 Harris Forge Apt. 716, West Scottland, OR 36696"
Yolanda Butler,9179236890,91,32,48,C,Below Average Achivement,503670,Martin Luther School,"94589 Oneill Vista, Byrdchester, MP 98250"
Cynthia Preston,9028441403,16,71,11,F,Failed,502317,Martin Luther School,"5955 Cannon Unions, Dicksonfurt, HI 04453"
Joel Jacobson,9466853044,53,97,68,B+,Good Pursuance,576813,Martin Luther School,"7786 Margaret Glen, West Zachary, IL 97085"
Austin Townsend,9199742124,45,15,65,D,Poor Pursuance,579375,Martin Luther School,"48104 Wilkins Bypass Suite 829, Davidside, CO 54665"
Dale Pittman,9307696119,64,20,96,C,Below Average Achivement,516647,Martin Luther School,"8571 Patel Walks Apt. 275, Port Debra, DC 22802"
Derek Harrington,9853160700,48,18,49,D,Poor Pursuance,520213,Martin Luther School,"USNS Rodriguez, FPO AE 84570"
Barbara Johnson,9978192126,18,33,81,D,Poor Pursuance,561039,Martin Luther School,"449 Shawn Harbor Apt. 135, Cannonstad, MH 74457"
Megan White,9342107167,37,85,98,B+,Good Pursuance,519345,Martin Luther School,"32130 Cynthia Manor, Chaveztown, WV 81782"
Daniel Mitchell,9180025873,18,89,81,B,Average Performance,580563,Martin Luther School,"Unit 0955 Box 7960, DPO AA 29438"
Patrick Tran,9150912382,40,80,63,B,Average Performance,593766,Martin Luther School,"96386 Ball Harbors Suite 397, Jenningsland, WV 93453"
Natalie Figueroa,9361207014,100,74,72,A,Very Good Achivement,569997,Martin Luther School,"140 Jeffrey Key Apt. 338, West Jennifer, FL 82587"
Kimberly Lewis,9690312534,76,85,85,A,Very Good Achivement,550137,Martin Luther School,"4954 Brown Route, New Tara, KS 13195"
Cory Jensen,9518198999,11,62,10,F,Failed,537993,Martin Luther School,"8921 Morrison Neck, New Carlton, HI 01643"
Carrie Wright,9359652395,42,53,13,D,Poor Pursuance,523655,Martin Luther School,"7263 Cox Neck, Briannachester, NM 98826"
Brett Hamilton,9750402201,13,86,80,C,Below Average Achivement,508277,Martin Luther School,"0609 Lee Villages, South Angela, MH 07884"
Andrew Castillo,9334783474,13,88,27,D,Poor Pursuance,553321,Martin Luther School,"901 Randy Overpass Apt. 691, Mayermouth, OK 18146"
Tracy Watkins,9796331586,62,37,77,C,Below Average Achivement,562323,Martin Luther School,"4447 Hunt Forest, East Justin, TN 25126"
Andrew Simpson,9070618634,31,99,34,C,Below Average Achivement,513530,Martin Luther School,"0931 Wheeler Center, Hernandezbury, NE 65459"
Amanda Young,9787735234,67,52,41,C,Below Average Achivement,586765,Martin Luther School,"15103 Brown Crossing, Watsonborough, FM 06745"
Matthew Wood,9141050414,87,40,80,B,Average Performance,541599,Martin Luther School,"43463 James Extension, North Angelamouth, IN 78114"
Crystal Maddox,9692914048,37,62,85,B,Average Performance,581344,Martin Luther School,"PSC 1640, Box 1396, APO AA 47795"
Jeffery Brewer,9762363657,95,46,28,C,Below Average Achivement,555423,Martin Luther School,"029 Ward Isle Suite 114, Port Lisa, KY 28225"
Jeffrey Kirby,9548745135,38,22,24,F,Failed,513890,Martin Luther School,"Unit 3508 Box 3525, DPO AP 01516"
Richard Stout,9921888579,58,26,13,F,Failed,502651,Martin Luther School,"564 Angela Tunnel, Brianville, CA 54533"
Rick Gregory,9088410641,18,36,88,D,Poor Pursuance,572447,Martin Luther School,"PSC 3721, Box 2249, APO AA 81213"
Linda Vazquez,9849169793,68,71,29,C,Below Average Achivement,541601,Martin Luther School,"78217 Odonnell Ridges, Lake Nathanielburgh, VT 86235"
Brooke Lamb,9773228498,60,13,36,D,Poor Pursuance,546541,Martin Luther School,"PSC 9322, Box 8404, APO AA 72068"
Anita Cook,9477691514,47,75,17,D,Poor Pursuance,588851,Martin Luther School,"037 Nelson Grove Suite 416, Port Sharon, MT 56386"
Tony Pham,9339855349,24,79,80,B,Average Performance,517897,Martin Luther School,"97366 Crawford Branch Apt. 551, East Christianland, IN 86987"
Tracy Williams,9018836571,51,82,81,B+,Good Pursuance,582643,Martin Luther School,"1407 Ferguson Garden, South Megan, DE 38046"
Tammy Osborn,9321863231,92,12,73,C,Below Average Achivement,550547,Martin Luther School,"012 Jensen Radial, Timhaven, OR 99806"
Kevin Duncan,9984670575,11,66,15,F,Failed,511783,Martin Luther School,"8479 Blanchard Mount, Port Christinatown, MD 24859"
Rachel Humphrey,9265669516,74,28,87,B,Average Performance,548942,Martin Luther School,"01050 Norris Lodge, Paulberg, FM 34747"
Jasmine Brewer,9597389274,80,15,14,D,Poor Pursuance,577771,Martin Luther School,"67218 Jones Station, Matamouth, AS 75713"
Christopher Brown,9547873064,86,23,97,B,Average Performance,591834,Martin Luther School,"9074 Matthew Rue, Jonathanton, DE 26658"
Brad Cruz,9562198579,35,28,73,D,Poor Pursuance,560375,Martin Luther School,"257 Danielle Locks, Frederickland, AL 92324"
Kristy Flynn,9398361142,52,14,75,D,Poor Pursuance,500468,Martin Luther School,"9587 William Lodge, East Joeltown, MH 37471"
Matthew Robinson,9990895429,45,28,68,D,Poor Pursuance,517480,Martin Luther School,"55514 Keller Drive, North Briannahaven, OK 43025"
Mr. Jared Marshall,9647137995,80,81,42,B,Average Performance,557276,Martin Luther School,"095 Gray Wall Suite 430, Port Bridget, GA 24421"
Ashley Soto,9323325222,42,41,82,C,Below Average Achivement,525826,Martin Luther School,"13399 Dennis Square Apt. 974, Port Connormouth, DE 36261"
Ashley Brown,9628451603,67,97,76,B+,Good Pursuance,599454,Martin Luther School,"5782 Moore Corners Suite 705, Lake Steven, NJ 52049"
Lisa Coffey,9892866838,98,18,56,C,Below Average Achivement,569842,Martin Luther School,"0367 Tyler Ports Apt. 892, Amandahaven, NM 11889"
Duane Brown,9986197915,62,10,75,D,Poor Pursuance,586675,Martin Luther School,"56144 Lee Point, North Nathan, GU 25779"
Debra Martin,9396986125,45,90,98,B+,Good Pursuance,589613,Martin Luther School,"564 Hubbard Meadow Apt. 008, West Trevortown, NH 91837"
Kelly Boyd,9736396727,48,63,29,D,Poor Pursuance,588562,Martin Luther School,"90686 Amber Oval Apt. 315, West Tracy, SD 95865"
Kyle Johnson,9064476930,65,58,71,B,Average Performance,575341,Martin Luther School,"564 Jonathan Viaduct, East David, PR 49703"
Robert Newman,9686467560,75,34,84,B,Average Performance,504005,Martin Luther School,"014 Lane Bridge, New Meganberg, MN 65285"
Donald Alvarado,9340742112,24,68,45,D,Poor Pursuance,578118,Martin Luther School,"85104 Ramsey Centers, West Ronnieland, PR 72205"
John Johnston,9721081383,38,40,12,F,Failed,557947,Martin Luther School,"6441 Annette Ports, Crystalton, AK 83304"
Mario Thomas,9130927165,16,68,72,C,Below Average Achivement,592003,Martin Luther School,"413 White Springs, Rhondafort, MT 50038"
Christy Contreras,9992740186,12,83,38,D,Poor Pursuance,595041,Martin Luther School,"33792 Danny Forge Suite 267, Lake Penny, WV 63746"
Wendy Gray,9253184257,96,16,61,C,Below Average Achivement,587556,Martin Luther School,"574 Donna Trace, Edwardview, AL 53559"
Marcus Patel,9279370639,21,31,32,F,Failed,557159,Martin Luther School,"587 Brianna Skyway, New Michelemouth, MD 99838"
John Braun,9953460468,60,53,11,D,Poor Pursuance,532890,Martin Luther School,"644 Torres Club Suite 363, South Christopher, FL 18235"
Thomas James,9624616777,10,71,100,C,Below Average Achivement,514970,Martin Luther School,"7616 Bruce Fork Apt. 322, North Adrianland, WA 81269"
Debbie Vargas,9114890444,77,25,44,D,Poor Pursuance,595369,Martin Luther School,"99255 Anderson Lock Suite 935, Mcleanville, NC 31293"
Greg Hayes,9604045693,37,93,85,B+,Good Pursuance,500122,Martin Luther School,"6217 Silva Overpass Suite 043, Drewshire, WV 03365"
Kathleen Anthony,9111947069,71,31,44,D,Poor Pursuance,528760,Martin Luther School,"30696 Nelson Fords Suite 297, Andrewmouth, CO 02073"
Makayla Carter,9893062239,91,64,81,B+,Good Pursuance,541570,Martin Luther School,"654 Amy Station Apt. 188, Lake Amanda, TN 32101"
Katherine Gallegos,9539078497,87,65,31,B,Average Performance,571628,Martin Luther School,"36207 Williams Estate Suite 047, West Jack, AL 09115"
Connie Rich,9677364033,24,100,36,C,Below Average Achivement,508049,Martin Luther School,"565 Wallace Walk Apt. 234, West Patrickburgh, FM 34498"
Susan Larsen,9530713785,35,19,35,F,Failed,509894,Martin Luther School,"593 Leon Oval Suite 850, Brendanstad, OH 28296"
Jeffrey Ortega,9366900227,63,20,65,D,Poor Pursuance,542510,Martin Luther School,"328 Melissa Forge Suite 271, Sharpport, MO 97905"
Mary Vasquez,9534267408,82,19,78,C,Below Average Achivement,541469,Martin Luther School,"45434 West Locks, Lake Teresaland, VT 68502"
Laura Howard,9347487137,86,67,59,B,Average Performance,513280,Martin Luther School,"339 Graham Glens, Lake Nathanhaven, ND 18991"
Jose Figueroa,9742949981,40,51,55,D,Poor Pursuance,544551,Martin Luther School,"610 Scott Meadows, West Samantha, ID 21976"
Heather Dominguez,9311724446,87,89,60,B+,Good Pursuance,588190,Martin Luther School,"7978 Timothy Street, Austinborough, FM 67189"
Larry Henry,9062778755,60,12,95,C,Below Average Achivement,585865,Martin Luther School,"9580 Adam Rapids, New Michaelland, NV 34269"
Kelly Cummings,9099279050,92,10,50,D,Poor Pursuance,544124,Martin Luther School,"5193 Drew Trafficway, Spencetown, VI 32769"
Amanda Merritt,9039735310,56,21,32,D,Poor Pursuance,593788,Martin Luther School,"Unit 5944 Box 6038, DPO AP 55872"
Jacqueline Baxter,9988236362,25,96,26,D,Poor Pursuance,578698,Martin Luther School,"618 Justin Shoals, New Shelbyfurt, KS 12952"
Stephanie Lester,9421105808,52,81,63,B,Average Performance,539339,Martin Luther School,"245 Michael Spring Apt. 496, South Louishaven, CA 01950"
Brett Cross,9745912375,94,94,19,B,Average Performance,592768,Martin Luther School,"19772 Alison Ports, Julianside, WY 62581"
Bradley Patel,9755411038,39,74,15,D,Poor Pursuance,522793,Martin Luther School,"692 Laura Road, Johnstad, PW 82543"
Keith Mcgee,9788691726,71,14,87,C,Below Average Achivement,528692,Martin Luther School,"1561 Crystal Tunnel Suite 412, New Sean, KS 30843"
Michael Martin,9099167404,68,80,56,B,Average Performance,553597,Martin Luther School,"90102 Walsh Path, Kevinburgh, ME 02555"
Jose Clark,9051356119,47,96,69,B,Average Performance,525812,Martin Luther School,"262 Brown Hill Apt. 889, New Jeffreytown, ND 83312"
John Benson,9556762361,36,90,93,B+,Good Pursuance,557499,Martin Luther School,"54052 Jennifer Valleys Suite 295, West Evelyn, VT 49727"
Charles Harvey,9915749736,39,57,23,D,Poor Pursuance,595334,Martin Luther School,"86934 Walters Points Suite 812, Mariastad, TN 52141"
Benjamin Johnson,9090981083,40,41,37,D,Poor Pursuance,593445,Martin Luther School,"949 Tara Avenue Suite 546, Englishhaven, PA 17020"
Jennifer Christensen,9598594818,74,79,32,B,Average Performance,542549,Martin Luther School,"45901 Davis Square, West Tyler, OK 22319"
Bianca Sloan,9804463558,96,12,15,D,Poor Pursuance,597097,Martin Luther School,"18242 Thompson Extension, Cristianland, MD 41364"
Justin Fischer,9125066521,69,45,76,B,Average Performance,570881,Martin Luther School,"2565 Jonathan Plaza, Port Susanport, KS 39544"
Cameron King,9822138276,84,14,30,D,Poor Pursuance,592238,Martin Luther School,"Unit 1379 Box 3364, DPO AA 86276"
Tammy George,9271162028,11,39,44,F,Failed,576979,Martin Luther School,"566 Cole Station, Fergusonborough, OH 12578"
Amy Wright,9487386425,67,26,33,D,Poor Pursuance,542926,Martin Luther School,"49848 Keith Mills Apt. 819, East Paul, KS 06501"
Theresa Bray,9481554410,37,10,33,F,Failed,564119,Martin Luther School,"7327 Watson Glen Apt. 019, West Heather, KS 21534"
John Joseph,9772524287,32,72,91,B,Average Performance,541968,Martin Luther School,"705 Roger Points, Jennifermouth, CA 04843"
Andrea Pugh,9431376099,57,86,80,B+,Good Pursuance,525316,Martin Luther School,"83619 Jessica Track, Lauraside, MA 13744"
Robert Ramirez,9305039865,77,41,27,D,Poor Pursuance,552335,Martin Luther School,"04399 Sarah Station, Walkerhaven, MP 59843"
Dorothy Cole,9431490951,62,90,66,B+,Good Pursuance,578596,Martin Luther School,"827 Joshua Plains Apt. 451, Hollymouth, CO 56700"
Samantha Holmes,9133213634,56,15,69,D,Poor Pursuance,556754,Martin Luther School,"33567 Hopkins Viaduct, North Katrinafort, FL 62820"
Terry Long,9352892425,15,69,65,D,Poor Pursuance,556177,Martin Luther School,"790 Clarence Brook Suite 935, Connermouth, AL 76340"
Katelyn Pollard,9081603480,58,41,62,C,Below Average Achivement,595304,Martin Luther School,"99557 Tamara Grove Suite 548, Port Franciscobury, AR 09833"
Taylor Robinson,9024140124,97,25,46,C,Below Average Achivement,526723,Martin Luther School,"9759 Crosby Corner Suite 988, Morriston, AL 34762"
Cynthia Kim,9839704123,75,72,88,B+,Good Pursuance,543459,Martin Luther School,"924 Beck River, Maldonadoborough, WY 07043"
Louis Cunningham,9566919529,17,43,28,F,Failed,542329,Martin Luther School,"26563 Barbara Route, Sellerschester, TX 95421"
Joseph Hendrix,9689886785,31,47,99,C,Below Average Achivement,580017,Martin Luther School,"Unit 8630 Box 2690, DPO AP 34481"
Kelly Brown,9414857243,29,96,41,C,Below Average Achivement,509965,Martin Luther School,"USNS Stone, FPO AP 54673"
David Keller,9247992104,82,45,21,D,Poor Pursuance,519812,Martin Luther School,"0312 Oconnell Plaza, North Mackenzieville, VI 44336"
Amy Gonzales,9729324279,23,54,11,F,Failed,566325,Martin Luther School,"291 Kurt Pike, North Carlview, AR 79994"
Brandon Navarro,9386331708,90,88,67,A,Very Good Achivement,532777,Martin Luther School,"001 Johnson Cape, Lake Moniquestad, LA 69844"
Andre Bryant,9546435982,27,91,35,C,Below Average Achivement,549566,Martin Luther School,"14856 Fleming Circle, Katelynhaven, NY 85228"
Gregory Allen,9413726139,69,88,75,B+,Good Pursuance,567059,Martin Luther School,"22438 Morrison Lakes Suite 306, Blakeborough, RI 46186"
Ashley Jones,9039773102,60,64,67,B,Average Performance,518883,Martin Luther School,"831 Moss Unions Apt. 978, New Andrewmouth, MS 12849"
Mark Spence,9580633997,43,95,33,C,Below Average Achivement,585440,Martin Luther School,"83430 Sharon Ridges Apt. 966, North Crystalport, WI 23803"
Shannon Ellis,9832783387,75,17,40,D,Poor Pursuance,585559,Martin Luther School,"3339 Isabella Turnpike, North Justinton, TX 74999"
Raymond Wilson,9235700479,76,38,17,D,Poor Pursuance,570394,Martin Luther School,"67108 Ortiz Turnpike, South Dawnshire, NY 94665"
Allison Benjamin,9668175105,93,36,76,B,Average Performance,511827,Martin Luther School,"4188 Nichols Island Suite 584, Toddside, KS 75949"
Christopher Parker,9497125649,98,11,82,B,Average Performance,538802,Martin Luther School,"710 Lowe Turnpike, Mcclurebury, ME 50949"
Stephanie Savage,9997169712,71,92,31,B,Average Performance,559639,Martin Luther School,"10505 Olson Isle Apt. 725, New Shirley, MI 59259"
Gregory Brown,9511035655,29,25,56,D,Poor Pursuance,517239,Martin Luther School,"050 Delgado Viaduct Apt. 752, Andrewview, IL 78760"
Melissa Garcia,9517136549,96,34,73,B,Average Performance,505255,Martin Luther School,"2080 Morse Squares, North David, GU 31071"
Danielle Boyle,9929304015,57,58,60,C,Below Average Achivement,576568,Martin Luther School,"04710 Williams Avenue, Austinport, KY 64707"
Jeanette Lee MD,9408076316,82,92,88,A,Very Good Achivement,507696,Martin Luther School,"278 Bruce Expressway, Smallbury, LA 77930"
Robert Davis,9798691151,95,42,52,B,Average Performance,574764,Martin Luther School,"4951 Angela Freeway, Scottborough, AR 06091"
Douglas Lynch,9141908114,74,34,39,D,Poor Pursuance,560917,Martin Luther School,"6592 Mendez Islands, Julieborough, KY 43612"
John Thomas,9867589119,82,28,38,D,Poor Pursuance,569375,Martin Luther School,"476 Moran Loaf Apt. 760, Dianemouth, IA 31464"
Cynthia Moore,9334923960,75,21,41,D,Poor Pursuance,574556,Martin Luther School,"1886 Aaron Trafficway Apt. 948, Lake Kristineport, CT 05006"
Jennifer Myers,9578898134,49,28,95,C,Below Average Achivement,596404,Martin Luther School,"5314 Baker Creek Suite 044, Barbaraview, AL 53669"
Christopher Alexander,9295766174,52,37,98,B,Average Performance,542461,Martin Luther School,"79971 Suarez Summit, Lake Stevenburgh, KS 75754"
Christina Schmidt,9052572686,83,34,89,B,Average Performance,589352,Martin Luther School,"7198 Mary Villages Apt. 797, South Jamesmouth, IN 62363"
Linda Cooper,9270829238,46,75,84,B,Average Performance,527916,Martin Luther School,"123 Alyssa Cape Suite 743, East Samuel, NJ 49562"
Terri Cruz,9883132523,72,45,54,C,Below Average Achivement,530064,Martin Luther School,"40974 Clark Unions, Lake Theodoreton, GU 76969"
Amy Alexander,9358859531,46,80,40,C,Below Average Achivement,532008,Martin Luther School,"4360 Tara Forge Suite 428, New Shannonborough, GU 75898"
Courtney Anderson,9215427305,52,21,83,C,Below Average Achivement,586381,Martin Luther School,"72028 Carlson Burg Apt. 367, West David, IA 68331"
Kelsey Acevedo,9482135721,92,59,36,B,Average Performance,553782,Martin Luther School,"USNV Ortiz, FPO AE 86557"
Alexandra Thomas,9970534948,28,83,81,B,Average Performance,509630,Martin Luther School,"PSC 0531, Box 5553, APO AP 45483"
Ann Conway,9799666955,61,49,98,B,Average Performance,535813,Martin Luther School,"71779 Hayes Mills Suite 910, Port John, OK 25290"
Gabriel Cunningham,9619177770,46,67,19,D,Poor Pursuance,524233,Martin Luther School,"6700 Seth Avenue Apt. 922, North Daltonland, VT 37016"
Joshua Potts,9878009433,52,49,11,D,Poor Pursuance,571543,Martin Luther School,"04954 Victor Cape, Foxville, KS 23845"
Keith Berry,9034635002,54,75,54,B,Average Performance,560274,Martin Luther School,"42763 Hansen Dale Suite 814, Amandaborough, PR 01187"
Felicia Thomas,9367792144,96,93,98,A+,Excellent Performance,523148,Martin Luther School,"557 Kimberly Street Suite 420, North Jenniferborough, VI 59988"
Charles Murphy,9406418365,77,24,93,B,Average Performance,507604,Martin Luther School,"66828 Mark Spur Suite 564, West Lisafort, WV 55125"
Patty Adkins,9594033019,35,95,85,B+,Good Pursuance,540259,Martin Luther School,"PSC 1956, Box 1374, APO AA 23393"
Brian Davis,9370386950,66,90,30,B,Average Performance,592862,Martin Luther School,"862 Nicholas Circles Apt. 020, Stewartport, MH 71425"
Rose Foley,9024186729,82,51,60,B,Average Performance,595151,Martin Luther School,"382 Jacobson Centers Suite 692, West Virginiamouth, AK 85286"
Jerry Berry,9400169675,25,57,56,D,Poor Pursuance,591382,Martin Luther School,"5319 Johnson Flat, Lake Jonathanville, AL 08333"
Rachel Zavala,9694993588,61,75,83,B+,Good Pursuance,574098,Martin Luther School,"481 Boyer Shore, South Angelaport, AR 46518"
Christopher Bautista,9885378280,83,63,95,B+,Good Pursuance,507756,Martin Luther School,"50502 Sherry Mission Suite 862, Aaronshire, WA 36766"
