student_id,full_name,date_of_birth,grade_level,emergency_contact,age,attendance_rate,hw_done_rate,avg_score,stress_level_x,anxiety_score_x,depression_score_x,sentiment_score_x,sleep_hours_x,msg_count,last_contact,stress_level_y,anxiety_score_y,depression_score_y,sentiment_score_y,sleep_hours_y
S01068,grace davis,2015-04-14,Grade 5,+1-548-336-5847,10.0,1.0,1.0,70.0,,,,,,,,,,,,
S01069,Joshua Baldwin,2013-11-12,Grade 4,(833)918-2692,12.0,0.0,0.0,83.0,,,,,,,,,,,,
S01070,Stephanie Mclaughlin,2017-09-27,Grade 1,547-208-8239x49306,8.0,1.0,1.0,43.0,,,,,,,,,,,,
S01071,Marcus Anderson,2009-06-28,Grade 2,+1-977-334-4186,16.0,1.0,1.0,87.0,,,,,,,,,,,,
S01072,Deborah Harvey,2008-05-24,Grade 3,(495)779-4233x87389,17.0,0.0,1.0,73.0,,,,,,,,,,,,
S01073,Erica Harris,2010-06-07,Grade 1,001-562-233-3966,15.0,0.0,1.0,70.0,,,,,,,,,,,,
S01074,Lisa Reynolds,2016-01-21,Grade 4,655.214.8715,9.0,1.0,0.0,70.0,,,,,,,,,,,,
S01075,Jennifer Kane,2013-10-30,Grade 5,563.396.4677,12.0,0.0,0.0,51.0,,,,,,,,,,,,
S01076,Michael Cabrera,2017-02-05,Grade 3,unknown,8.0,0.0,1.0,76.0,,,,,,,,,,,,
S01077,Brent Nelson,2017-01-02,Grade 1,645.574.5464,8.0,0.0,1.0,46.0,,,,,,,,,,,,
S01078,Carrie Castro,2013-11-27,Grade 4,283.353.9285,11.0,0.0,0.0,70.0,,,,,,,,,,,,
S01079,Jessica Davis,2018-07-25,Grade 1,001-693-262-4626x765,7.0,0.0,0.0,68.0,,,,,,,,,,,,
S01080,Maria Chapman,2008-10-05,Grade 3,+1-688-330-1505x021,17.0,0.0,1.0,75.0,,,,,,,,,,,,
S01081,Stephanie West,2014-06-18,Grade 3,682.264.8114x9316,11.0,0.0,0.0,88.0,,,,,,,,,,,,
S01082,Linda Velasquez,2012-02-27,Grade 4,460.376.4340x2574,13.0,0.0,0.0,70.0,,,,,,,,,,,,
S01083,Ann Turner,2018-10-27,Grade 5,576-594-6125,7.0,0.0,1.0,87.0,,,,,,,,,,,,
S01084,Tamara Rollins,2017-01-01,Grade 5,5803999964,8.0,0.0,0.0,70.0,,,,,,,,,,,,
S01085,Pamela Russo,,Grade 1,(695)594-2540x309,13.0,0.0,1.0,70.0,,,,,,,,,,,,
S01086,Kelly Taylor,2010-10-23,Grade 2,(292)628-4192x84194,15.0,0.0,1.0,66.0,,,,,,,,,,,,
S01087,Sarah Palmer,2013-04-19,Grade 2,+1-291-334-9026x1364,12.0,1.0,0.0,91.0,,,,,,,,,,,,
S01088,Allison Crane,2008-01-06,Grade 5,001-582-728-9988x089,17.0,0.0,0.0,42.0,,,,,,,,,,,,
S01089,Kimberly Simmons,2011-12-24,Grade 4,+1-878-955-4650x76636,13.0,0.0,1.0,70.0,,,,,,,,,,,,
S01090,Patrick Matthews,2014-04-21,Grade 1,(816)483-9398x862,11.0,0.0,0.0,83.0,,,,,,,,,,,,
S01091,Catherine Thornton,2017-02-26,Grade 3,001-886-984-8188x24285,8.0,0.0,0.0,99.0,,,,,,,,,,,,
S01092,Patrick Oconnell,,Grade 2,+1-671-605-4000x04762,13.0,0.0,1.0,67.0,,,,,,,,,,,,
S01093,Steven Hayes,2012-10-14,Grade 2,609-593-0910,13.0,0.0,0.0,94.0,,,,,,,,,,,,
S01094,Jonathan Carter,2017-10-01,Grade 1,8867927643,8.0,1.0,0.0,70.0,,,,,,,,,,,,
S01095,Joshua Cruz,2014-12-25,Grade 2,001-212-873-1156,10.0,0.0,0.0,70.0,,,,,,,,,,,,
S01096,dr. angela thomas dds,2008-08-06,Grade 2,+1-669-910-5352x288,17.0,0.0,1.0,41.0,,,,,,,,,,,,
S01097,Dustin Hurst,,Grade 1,558.801.8648,13.0,0.0,0.0,87.0,,,,,,,,,,,,
S01098,Derek Russell,2014-09-18,Grade 1,001-221-799-2413x00639,11.0,0.0,1.0,70.0,,,,,,,,,,,,
S01099,Robert Brown,2009-11-15,Grade 5,8312485267,16.0,0.0,0.0,78.0,,,,,,,,,,,,
S01100,Rodney Pierce,2009-08-25,Grade 3,9635120831,16.0,0.0,0.0,59.0,,,,,,,,,,,,
S01101,john joseph,2017-12-08,Grade 2,+1-648-933-3503x029,7.0,0.0,0.0,85.0,,,,,,,,,,,,
S01102,Antonio Martinez,2013-03-28,Grade 4,980.632.0897,12.0,0.0,0.0,99.0,,,,,,,,,,,,
S01103,Kenneth Ayala,,Grade 1,287-800-0361,13.0,1.0,1.0,48.0,,,,,,,,,,,,
S01104,Scott Lee,,Grade 2,328.576.2930x3942,13.0,0.0,1.0,80.0,,,,,,,,,,,,
S01105,Nathan Marsh,2019-02-20,Grade 1,402.881.3562x6354,6.0,1.0,1.0,73.0,,,,,,,,,,,,
S01106,Lindsay Walker,2008-12-22,Grade 1,734.508.8903,16.0,1.0,1.0,61.0,,,,,,,,,,,,
S01107,Teresa Reyes,,Grade 2,001-373-287-2120x98317,13.0,1.0,0.0,58.0,,,,,,,,,,,,
S01108,Katherine Robbins,2010-04-22,Grade 3,(967)555-5713,15.0,0.0,1.0,75.0,,,,,,,,,,,,
S01109,Sheri Diaz,2014-05-21,Grade 3,001-974-554-2351,11.0,0.0,1.0,68.0,,,,,,,,,,,,
S01110,James Singleton,2018-02-23,Grade 5,296.257.0460x1865,7.0,0.0,1.0,54.0,,,,,,,,,,,,
S01111,Amanda Ray,2008-10-15,Grade 2,001-305-426-7482,17.0,1.0,0.0,70.0,,,,,,,,,,,,
S01112,Mathew Lopez,2012-11-01,Grade 2,+1-651-862-4057,13.0,0.0,1.0,87.0,,,,,,,,,,,,
S01113,Amber Martinez,2007-11-13,Grade 3,(543)334-5343,18.0,0.0,0.0,90.0,,,,,,,,,,,,
S01114,Anne Smith,2019-03-07,Grade 2,578-366-8275x2791,6.0,0.0,1.0,100.0,,,,,,,,,,,,
S01115,Michael Leonard,2014-10-09,Grade 4,001-364-554-9599x8745,11.0,1.0,0.0,63.0,,,,,,,,,,,,
S01116,Rebecca Garcia,2011-07-23,Grade 5,+1-490-235-0536x7069,14.0,0.0,1.0,55.0,,,,,,,,,,,,
S01117,Lori Coleman,2018-07-05,Grade 5,001-538-896-8485x6651,7.0,0.0,1.0,83.0,,,,,,,,,,,,
S01118,Holly Newman,2007-04-03,Grade 4,+1-953-646-6534x84837,18.0,1.0,0.0,91.0,,,,,,,,,,,,
S01119,Tammy Love,2014-12-23,Grade 3,433-329-5852x5217,10.0,0.0,1.0,60.0,,,,,,,,,,,,
S01120,Brittany Harrison,2012-09-04,Grade 2,212-269-0632,13.0,1.0,1.0,84.0,,,,,,,,,,,,
S01121,daniel shannon,,Grade 3,+1-358-523-4054x93108,13.0,0.0,1.0,99.0,,,,,,,,,,,,
S01122,Thomas Villegas,2013-10-08,Grade 5,475-415-4891x800,12.0,0.0,0.0,70.0,,,,,,,,,,,,
S01123,donald hood,2008-01-15,Grade 3,950.987.3260,17.0,1.0,0.0,92.0,,,,,,,,,,,,
S01124,Jordan Webb,2017-10-07,Grade 1,001-589-992-5889x2896,8.0,0.0,0.0,42.0,,,,,,,,,,,,
S01125,Christopher Stokes,2009-09-09,Grade 1,472-657-2623,16.0,0.0,0.0,70.0,,,,,,,,,,,,
S01126,Parker Gross,2010-08-08,Grade 1,001-638-457-5793x4323,15.0,0.0,1.0,99.0,,,,,,,,,,,,
S01127,Zachary Warren,2011-03-21,Grade 4,8336733897,14.0,0.0,1.0,85.0,,,,,,,,,,,,
S01128,Katherine Morales,2017-11-17,Grade 4,(537)792-4701x25994,8.0,0.0,1.0,78.0,,,,,,,,,,,,
S01129,Margaret Harris,2010-01-31,Grade 2,+1-335-917-9927x481,15.0,0.0,0.0,81.0,,,,,,,,,,,,
S01130,Dr. Michael Cooper,2013-10-21,Grade 5,840.802.3582,12.0,0.0,1.0,46.0,,,,,,,,,,,,
S01131,Melinda Price,2017-06-28,Grade 1,729.642.3690,8.0,0.0,1.0,67.0,,,,,,,,,,,,
S01132,Patrick Davis,2015-12-21,Grade 5,(851)442-5310x68669,9.0,0.0,1.0,71.0,,,,,,,,,,,,
S01133,Mr. Steven Baker DVM,2019-02-23,Grade 5,(311)365-3295,6.0,1.0,0.0,70.0,,,,,,,,,,,,
S01134,Jeremy Willis,2017-01-05,Grade 3,551.636.7470x8755,8.0,1.0,1.0,99.0,,,,,,,,,,,,
S01135,Brian Bryan,2015-04-02,Grade 5,+1-992-845-0574x1447,10.0,0.0,0.0,74.0,,,,,,,,,,,,
S01136,Jessica Landry,2016-10-31,Grade 5,001-370-695-7598x725,9.0,0.0,1.0,68.0,,,,,,,,,,,,
S01137,Joel Jones,2017-06-19,Grade 4,3683760090,8.0,1.0,0.0,70.0,,,,,,,,,,,,
S01138,John Sloan,2015-11-20,Grade 1,726.402.7142,10.0,1.0,1.0,70.0,,,,,,,,,,,,
S01139,Taylor Jones,2014-06-11,Grade 1,204.282.2280,11.0,0.0,1.0,72.0,,,,,,,,,,,,
S01140,Daniel Gonzalez,2016-07-06,Grade 1,541-850-4948x077,9.0,0.0,0.0,88.0,,,,,,,,,,,,
S01141,Shelby Green,2006-03-17,Grade 1,(270)563-7612,19.0,0.0,1.0,70.0,,,,,,,,,,,,
S01142,Michael Walker,2018-02-24,Grade 4,663-882-1207x22521,7.0,0.0,1.0,51.0,,,,,,,,,,,,
S01143,Troy Townsend,,Grade 3,(827)475-6700,13.0,1.0,0.0,84.0,,,,,,,,,,,,
S01144,Lauren Vega,2012-01-31,Grade 5,7112299021,13.0,1.0,0.0,80.0,,,,,,,,,,,,
S01145,Ann Massey,2012-10-17,Grade 2,338.703.8230x553,13.0,0.0,0.0,85.0,,,,,,,,,,,,
S01146,Spencer Lopez,2008-02-22,Grade 4,956-873-5299x17080,17.0,1.0,1.0,51.0,,,,,,,,,,,,
S01147,Angie Jensen,2015-09-10,Grade 1,unknown,10.0,0.0,1.0,88.0,,,,,,,,,,,,
S01148,Blake Silva,2014-02-14,Grade 1,+1-745-659-8951x59971,11.0,0.0,0.0,70.0,,,,,,,,,,,,
S01149,Hannah Oconnor,,Grade 5,510-304-5481x419,13.0,0.0,0.0,61.0,,,,,,,,,,,,
S01150,Tammy Moreno,2011-11-21,Grade 1,7973648474,14.0,1.0,1.0,52.0,,,,,,,,,,,,
S01151,Julie Robles,2013-04-12,Grade 4,(887)327-0203x5820,12.0,0.0,0.0,51.0,,,,,,,,,,,,
S01152,Michael Barnes,,Grade 4,+1-473-413-7597,13.0,1.0,0.0,94.0,,,,,,,,,,,,
S01153,Chloe Gomez,2010-06-20,Grade 4,+1-885-352-6850,15.0,0.0,1.0,57.0,,,,,,,,,,,,
S01154,Glenn Watson,2012-05-14,Grade 5,750-425-9000,13.0,0.0,1.0,68.0,,,,,,,,,,,,
S01155,malik stewart,,Grade 3,372-495-0224x0026,13.0,0.0,1.0,42.0,,,,,,,,,,,,
S01156,Marcus Farley,2006-04-04,Grade 1,3962697872,19.0,0.0,1.0,58.0,,,,,,,,,,,,
S01157,David Mills,2009-12-06,Grade 3,812.355.7108,15.0,1.0,1.0,53.0,,,,,,,,,,,,
S01158,Mary Allen,2009-03-22,Grade 4,630-596-8857x9832,16.0,0.0,1.0,72.0,,,,,,,,,,,,
S01159,Jennifer Holmes,2011-08-16,Grade 4,5545499284,14.0,0.0,0.0,77.0,,,,,,,,,,,,
S01160,Melissa Davis,2014-06-16,Grade 5,unknown,11.0,0.0,1.0,85.0,,,,,,,,,,,,
S01161,Sara Hebert,2014-06-08,Grade 5,416-541-9947x2454,11.0,0.0,0.0,65.0,,,,,,,,,,,,
S01162,Brian Harrison,2017-02-27,Grade 1,001-861-933-0053x45063,8.0,0.0,1.0,58.0,,,,,,,,,,,,
S01163,Alexandra Ross,2017-06-16,Grade 1,759.327.7661,8.0,0.0,1.0,70.0,,,,,,,,,,,,
S01164,joshua stephens,2012-08-30,Grade 3,(616)399-4103,13.0,0.0,0.0,62.0,,,,,,,,,,,,
S01165,Samuel Jones,2011-07-22,Grade 5,211-425-4209x329,14.0,0.0,0.0,56.0,,,,,,,,,,,,
S01166,Sara Baker,2007-01-12,Grade 5,312.670.1336x0652,18.0,0.0,0.0,85.0,,,,,,,,,,,,
S01167,Nathan Reid,2011-01-23,Grade 4,812-478-1236,14.0,0.0,0.0,67.0,,,,,,,,,,,,
S01168,Linda Stevens,2017-05-25,Grade 3,440.483.9443x64272,8.0,1.0,1.0,86.0,,,,,,,,,,,,
S01169,Chris Hubbard,2008-05-11,Grade 5,477-489-4292x2056,17.0,0.0,1.0,98.0,,,,,,,,,,,,
S01170,Adam Mclaughlin,2007-04-16,Grade 4,236-868-1599x93234,18.0,0.0,0.0,70.0,,,,,,,,,,,,
S01171,Dr. Christopher Flowers,2008-07-24,Grade 1,(438)224-7056x53726,17.0,0.0,0.0,56.0,,,,,,,,,,,,
S01172,Robert Hernandez,2008-02-13,Grade 5,513.432.2454x5297,17.0,0.0,1.0,70.0,,,,,,,,,,,,
S01173,Logan Wilson,2015-10-01,Grade 2,348.847.1308x6550,10.0,0.0,1.0,70.0,,,,,,,,,,,,
S01174,Daniel Munoz,2013-02-25,Grade 2,555.679.6992,12.0,0.0,0.0,70.0,,,,,,,,,,,,
S01175,Donald Miller,2012-05-02,Grade 1,8867669167,13.0,0.0,0.0,59.0,,,,,,,,,,,,
S01176,Steven Pope,2010-10-06,Grade 4,001-980-690-0692x3095,15.0,1.0,1.0,52.0,,,,,,,,,,,,
S01177,Jennifer Wallace,2007-07-03,Grade 1,+1-526-322-7972x5408,18.0,1.0,1.0,70.0,,,,,,,,,,,,
S01178,Amanda Brown,2014-10-10,Grade 5,620.815.1516x694,11.0,1.0,1.0,53.0,,,,,,,,,,,,
S01179,Bobby Rivas,2009-09-25,Grade 5,437.884.4310,16.0,0.0,0.0,70.0,,,,,,,,,,,,
S01180,Curtis Hill,,Grade 1,646.306.7122,13.0,0.0,0.0,70.0,,,,,,,,,,,,
S01181,Robert Leonard,2008-10-05,Grade 5,(313)395-9243,17.0,1.0,0.0,71.0,,,,,,,,,,,,
S01182,Wanda Adams,2016-12-12,Grade 1,(663)982-7935,8.0,1.0,0.0,57.0,,,,,,,,,,,,
S01183,Johnathan Underwood,2007-11-24,Grade 1,+1-401-281-8597x39722,17.0,0.0,0.0,41.0,,,,,,,,,,,,
S01184,Alyssa Sparks,2011-06-10,Grade 5,6624864752,14.0,1.0,0.0,54.0,,,,,,,,,,,,
S01185,Diana Miller,2008-01-01,Grade 1,001-900-733-1740,17.0,0.0,0.0,74.0,,,,,,,,,,,,
S01186,Teresa Nelson,2010-12-29,Grade 3,460.666.4762x926,14.0,0.0,1.0,46.0,,,,,,,,,,,,
S01187,Manuel Fritz,2014-08-15,Grade 1,001-928-587-0579x766,11.0,0.0,0.0,70.0,,,,,,,,,,,,
S01188,Keith Bradshaw,2015-02-07,Grade 3,001-544-486-3311x20182,10.0,0.0,0.0,89.0,,,,,,,,,,,,
S01189,frances wolf,2014-05-15,Grade 1,210-604-5347x1937,11.0,0.0,1.0,72.0,,,,,,,,,,,,
S01190,Craig Holloway,2014-08-14,Grade 1,unknown,11.0,0.0,0.0,68.0,,,,,,,,,,,,
S01191,Julia Molina,2018-10-28,Grade 3,4012473390,7.0,1.0,1.0,67.0,,,,,,,,,,,,
S01192,Elizabeth Harrison PhD,2007-02-14,Grade 4,(509)823-2789,18.0,0.0,0.0,64.0,,,,,,,,,,,,
S01193,Mary Rivers,2015-02-06,Grade 2,(887)765-1671,10.0,0.0,0.0,69.0,,,,,,,,,,,,
S01194,Joseph Harvey,2016-09-04,Grade 2,+1-384-749-9008x28669,9.0,0.0,0.0,44.0,,,,,,,,,,,,
S01195,Samantha Chaney,2016-03-20,Grade 4,+1-370-522-9532x472,9.0,0.0,1.0,91.0,,,,,,,,,,,,
S01196,margaret robinson,2012-09-11,Grade 3,+1-562-907-5501,13.0,0.0,0.0,100.0,,,,,,,,,,,,
S01197,catherine sexton,2013-01-28,Grade 2,782-537-5032x47364,12.0,1.0,1.0,56.0,,,,,,,,,,,,
S01198,Robert Jones,2011-09-20,Grade 2,(285)925-4698x690,14.0,0.0,0.0,70.0,,,,,,,,,,,,
S01199,Mitchell Le,2015-11-04,Grade 5,001-889-929-0614x246,10.0,1.0,1.0,68.0,,,,,,,,,,,,
S01200,scott herrera,2008-05-13,Grade 5,687.523.5592x878,17.0,0.0,0.0,50.0,,,,,,,,,,,,
S01201,Holly Mcdonald,,Grade 4,318-850-8678,13.0,1.0,0.0,77.0,,,,,,,,,,,,
S01202,Kenneth Henderson,,Grade 1,367.386.9806x334,13.0,1.0,1.0,65.0,,,,,,,,,,,,
S01203,Gloria Graham,2008-05-19,Grade 2,(440)232-2684,17.0,1.0,0.0,70.0,,,,,,,,,,,,
S01204,Sherry Martinez,2012-10-29,Grade 5,001-559-256-7287x133,13.0,0.0,0.0,98.0,,,,,,,,,,,,
S01205,Alicia Bowen DVM,2018-02-18,Grade 3,(909)271-8149,7.0,1.0,0.0,52.0,,,,,,,,,,,,
S01206,Angela Miller,2014-04-27,Grade 1,(509)491-8199x763,11.0,1.0,0.0,70.0,,,,,,,,,,,,
S01207,Alexandra Lawrence,2010-08-03,Grade 4,(636)587-4524,15.0,1.0,0.0,71.0,,,,,,,,,,,,
S01208,Logan Porter,2012-12-31,Grade 3,(332)535-0977,12.0,0.0,0.0,70.0,,,,,,,,,,,,
S01209,Robert Frank,2013-11-20,Grade 2,(286)971-2509x6814,12.0,0.0,1.0,89.0,,,,,,,,,,,,
S01210,Isabel Taylor,2013-09-16,Grade 1,+1-643-679-7497x189,12.0,0.0,0.0,70.0,,,,,,,,,,,,
S01211,Julie Dominguez,2015-01-18,Grade 3,(438)407-3129x55265,10.0,1.0,1.0,75.0,,,,,,,,,,,,
S01212,Lisa Bailey,2012-03-21,Grade 2,5463020811,13.0,0.0,1.0,42.0,,,,,,,,,,,,
S01213,Megan Powell,2011-09-19,Grade 5,615-972-9726,14.0,0.0,0.0,45.0,,,,,,,,,,,,
S01214,Clayton Nguyen,2016-07-23,Grade 3,+1-413-386-4039x07849,9.0,0.0,1.0,70.0,,,,,,,,,,,,
S01215,Leah Wilson,2012-04-09,Grade 1,+1-574-652-0529x022,13.0,0.0,0.0,61.0,,,,,,,,,,,,
S01216,Shane Gutierrez,2015-12-06,Grade 3,(800)284-2855,9.0,0.0,1.0,88.0,,,,,,,,,,,,
S01217,Debbie Nichols,2018-01-24,Grade 2,552-965-2068x21758,7.0,1.0,0.0,82.0,,,,,,,,,,,,
S01218,Christopher Moreno,,Grade 2,+1-272-913-7795x168,13.0,0.0,1.0,70.0,,,,,,,,,,,,
S01219,Richard Gardner,2010-08-09,Grade 3,559.770.3306x29716,15.0,0.0,1.0,67.0,,,,,,,,,,,,
S01220,Travis Le,2013-05-28,Grade 4,6693873980,12.0,0.0,0.0,72.0,,,,,,,,,,,,
S01221,James Dickson,2008-03-10,Grade 5,588-386-3062x245,17.0,0.0,1.0,77.0,,,,,,,,,,,,
S01222,Nathan Jones,2016-12-03,Grade 2,658-832-0015x3944,8.0,0.0,0.0,96.0,,,,,,,,,,,,
S01223,Lori Love,2015-03-18,Grade 3,445-660-8995,10.0,1.0,0.0,74.0,,,,,,,,,,,,
S01224,christina pace,,Grade 2,747-822-1331,13.0,0.0,0.0,48.0,,,,,,,,,,,,
S01225,Danny Smith,2017-07-28,Grade 1,+1-426-650-9312x8357,8.0,0.0,0.0,98.0,,,,,,,,,,,,
S01226,Brandon Mckenzie,2017-04-22,Grade 1,001-529-949-7396x038,8.0,0.0,1.0,80.0,,,,,,,,,,,,
S01227,Roy Davis,2009-01-23,Grade 3,773.252.9894x9130,16.0,0.0,1.0,47.0,,,,,,,,,,,,
S01228,Frederick Holland,2015-08-28,Grade 5,001-539-742-0992x81468,10.0,0.0,0.0,61.0,,,,,,,,,,,,
S01229,Reginald Henderson,2009-12-11,Grade 1,469-913-5943,15.0,0.0,1.0,70.0,,,,,,,,,,,,
S01230,Vickie Garcia,2011-11-21,Grade 5,9726603281,14.0,0.0,0.0,59.0,,,,,,,,,,,,
S01231,Kelli Cline,2009-04-13,Grade 1,001-246-850-7031x36773,16.0,0.0,0.0,59.0,,,,,,,,,,,,
S01232,Paige Sims,2013-09-06,Grade 4,001-835-731-9045,12.0,0.0,1.0,61.0,,,,,,,,,,,,
S01233,Beth Morgan,2014-04-17,Grade 2,unknown,11.0,0.0,0.0,89.0,,,,,,,,,,,,
S01234,Kevin Hendrix,2008-08-29,Grade 4,730.403.3327x7750,17.0,1.0,0.0,70.0,,,,,,,,,,,,
S01235,Laura Martin,2014-07-24,Grade 4,001-542-413-6796,11.0,1.0,0.0,62.0,,,,,,,,,,,,
S01236,Tamara Thompson,,Grade 4,455.842.5539x162,13.0,0.0,0.0,40.0,,,,,,,,,,,,
S01237,Benjamin Bradford,2018-06-13,Grade 1,836-659-3605,7.0,1.0,1.0,91.0,,,,,,,,,,,,
S01238,Madison Harvey,2007-10-03,Grade 5,(360)817-3028,18.0,0.0,0.0,70.0,,,,,,,,,,,,
S01239,Alicia Leblanc,2009-04-25,Grade 2,001-381-422-1090,16.0,0.0,0.0,97.0,,,,,,,,,,,,
S01240,casey ingram,2006-07-04,Grade 5,001-416-234-4098x468,19.0,0.0,0.0,98.0,,,,,,,,,,,,
S01241,Debra Joseph,2010-12-04,Grade 1,001-640-560-6651x70505,14.0,0.0,0.0,69.0,,,,,,,,,,,,
S01242,Adriana Craig,2010-12-08,Grade 2,(305)623-0267x2639,14.0,0.0,1.0,70.0,,,,,,,,,,,,
S01243,James Sanders,2013-03-16,Grade 2,(826)258-3648x19522,12.0,0.0,0.0,82.0,,,,,,,,,,,,
S01244,William Gaines,2011-02-14,Grade 3,251-872-4355,14.0,0.0,1.0,73.0,,,,,,,,,,,,
S01245,Shelly Mcdowell,2013-06-11,Grade 5,001-924-597-3117x1281,12.0,1.0,1.0,94.0,,,,,,,,,,,,
S01246,Elizabeth Olson,2007-10-01,Grade 1,540.438.9935,18.0,0.0,0.0,70.0,,,,,,,,,,,,
S01247,Lynn Contreras,,Grade 2,447-330-4955x610,13.0,0.0,1.0,86.0,,,,,,,,,,,,
S01248,Alexander Knapp,2016-04-16,Grade 2,363-420-6131,9.0,0.0,0.0,54.0,,,,,,,,,,,,
S01249,Erin Brown,2009-04-15,Grade 5,748.582.9303,16.0,0.0,0.0,55.0,,,,,,,,,,,,
S01250,Alexander Galvan,2013-09-02,Grade 3,506-253-3098,12.0,1.0,0.0,74.0,,,,,,,,,,,,
S01251,nicholas kramer,2014-04-30,Grade 2,+1-638-462-1035x56115,11.0,0.0,0.0,55.0,,,,,,,,,,,,
S01252,Jimmy Santana,2013-05-01,Grade 2,(849)554-6982x747,12.0,0.0,0.0,70.0,,,,,,,,,,,,
S01253,Stephanie Baker,,Grade 1,889.810.0571x19574,13.0,0.0,1.0,76.0,,,,,,,,,,,,
S01254,kimberly morgan,2017-05-31,Grade 2,+1-233-406-4620x70319,8.0,0.0,0.0,42.0,,,,,,,,,,,,
S01255,Jeffrey Thornton,2012-10-16,Grade 1,(560)525-4951,13.0,0.0,0.0,70.0,,,,,,,,,,,,
S01256,Mark Clark,2010-07-29,Grade 2,(620)369-9511x129,15.0,0.0,0.0,50.0,,,,,,,,,,,,
S01257,James Smith,2013-06-20,Grade 5,001-317-374-8019,12.0,0.0,1.0,57.0,,,,,,,,,,,,
S01258,Matthew Fletcher,2016-10-12,Grade 2,720-201-2052,9.0,0.0,1.0,70.0,,,,,,,,,,,,
S01259,Mark Grant,2010-10-11,Grade 1,852.506.7768,15.0,0.0,1.0,53.0,,,,,,,,,,,,
S01260,kathryn lawrence,2017-02-01,Grade 3,579.416.7642x1977,8.0,0.0,0.0,64.0,,,,,,,,,,,,
S01261,Ryan Meza,2007-01-26,Grade 2,689.765.5133x73655,18.0,0.0,0.0,96.0,,,,,,,,,,,,
S01262,Candace Gonzales,2008-11-03,Grade 4,(909)956-7712x006,17.0,0.0,1.0,44.0,,,,,,,,,,,,
S01263,Rebecca Ramirez,2013-01-17,Grade 2,661-664-8214x334,12.0,0.0,1.0,100.0,,,,,,,,,,,,
S01264,Jerry Sanders,2017-03-26,Grade 3,8316181835,8.0,0.0,0.0,98.0,,,,,,,,,,,,
S01265,Kenneth Kemp,2018-09-14,Grade 5,829-257-1046,7.0,0.0,0.0,70.0,,,,,,,,,,,,
S01266,Nicole Francis,2007-06-19,Grade 3,231.857.1441x4437,18.0,0.0,0.0,61.0,,,,,,,,,,,,
S01267,Sarah Roberts,2018-08-01,Grade 2,(232)997-3460,7.0,0.0,0.0,46.0,,,,,,,,,,,,
S01268,Anthony Barrett,2015-05-04,Grade 2,(791)353-9421x22748,10.0,0.0,1.0,95.0,,,,,,,,,,,,
S01269,Jeremy Young,2014-02-06,Grade 4,001-867-897-0192x16181,11.0,1.0,1.0,94.0,,,,,,,,,,,,
S01270,lisa allen,,Grade 4,326-222-6536x480,13.0,1.0,0.0,82.0,,,,,,,,,,,,
S01271,Brittany Miller,2006-04-06,Grade 1,001-233-653-7921x6840,19.0,0.0,0.0,50.0,,,,,,,,,,,,
S01272,Douglas Schmidt,2015-05-29,Grade 3,429.450.9656x5532,10.0,1.0,1.0,91.0,,,,,,,,,,,,
S01273,Heather Hardy,,Grade 1,+1-874-963-0185x996,13.0,1.0,1.0,59.0,,,,,,,,,,,,
S01274,Kayla Parker,2008-12-07,Grade 1,001-650-684-9500x40177,16.0,1.0,1.0,40.0,,,,,,,,,,,,
S01275,danielle franco,2008-10-26,Grade 3,+1-390-327-3489x970,17.0,0.0,0.0,70.0,,,,,,,,,,,,
S01276,Martha Galvan,2010-02-23,Grade 2,8042966002,15.0,1.0,0.0,46.0,,,,,,,,,,,,
S01277,Brian Bell,2017-10-27,Grade 1,+1-689-547-8234,8.0,0.0,0.0,92.0,,,,,,,,,,,,
S01278,Nicholas Garcia,2013-12-13,Grade 1,+1-398-299-7532x94507,11.0,0.0,1.0,65.0,,,,,,,,,,,,
S01279,Grant Cruz,2011-07-13,Grade 3,unknown,14.0,0.0,0.0,70.0,,,,,,,,,,,,
S01280,Debbie Hood,,Grade 5,7402300344,13.0,1.0,0.0,97.0,,,,,,,,,,,,
S01281,Devin Smith,,Grade 3,001-690-411-9060x8712,13.0,0.0,0.0,74.0,,,,,,,,,,,,
S01282,michael williams,2009-07-13,Grade 5,+1-889-361-7016x2408,16.0,0.0,0.0,91.0,,,,,,,,,,,,
S01283,Dawn Caldwell,2017-10-08,Grade 4,(412)272-7087,8.0,1.0,0.0,70.0,,,,,,,,,,,,
S01284,Jacob Johnson,2011-11-10,Grade 4,388.933.7869x28327,14.0,0.0,1.0,59.0,,,,,,,,,,,,
S01285,Douglas Sullivan,2009-09-18,Grade 2,(726)233-0731,16.0,0.0,1.0,70.0,,,,,,,,,,,,
S01286,Patrick Mitchell,2014-04-25,Grade 5,638-420-4029x839,11.0,1.0,1.0,70.0,,,,,,,,,,,,
S01287,John Williams,2017-06-02,Grade 5,755.953.4933,8.0,1.0,1.0,75.0,,,,,,,,,,,,
S01288,Sharon Black,2008-06-18,Grade 3,unknown,17.0,0.0,0.0,46.0,,,,,,,,,,,,
S01289,Brian Hill,2009-03-11,Grade 5,+1-838-962-5980,16.0,0.0,0.0,71.0,,,,,,,,,,,,
S01290,Emily Pitts,2007-07-17,Grade 3,565.702.5081,18.0,1.0,1.0,70.0,,,,,,,,,,,,
S01291,Amy Hendrix,2013-05-04,Grade 2,001-602-901-5809,12.0,0.0,0.0,69.0,,,,,,,,,,,,
